product_id,week_start,forecast_qty
1064,2025-03-24,5.983760163524087
1064,2025-03-31,7.342800231868981
1064,2025-04-07,7.630182120004502
1064,2025-04-14,8.337104438363475
1064,2025-04-21,8.442060040903728
1065,2025-03-03,2.8133386375803764
1065,2025-03-10,2.7653852084968116
1065,2025-03-17,3.211311853238319
1065,2025-03-24,3.8797595981078974
1065,2025-03-31,6.615877479892394
1065,2025-04-07,6.360512949245514
1065,2025-04-14,6.990092383682688
1065,2025-04-21,7.353512626679185
1066,2025-03-03,3.2661119735871704
1066,2025-03-10,16.55983663298346
1066,2025-03-17,8.086339327017466
1066,2025-03-24,9.173805580308636
1066,2025-03-31,9.762279879115509
1066,2025-04-07,10.851362925043027
1066,2025-04-14,10.643906852181996
1066,2025-04-21,10.874190552518861
1067,2025-03-03,8.212714695513522
1067,2025-03-10,9.305073570775084
1067,2025-03-17,9.772064548667851
1067,2025-03-24,8.64896200145438
1067,2025-03-31,10.130424341540133
1067,2025-04-07,10.272047400887411
1067,2025-04-14,10.769795122531002
1067,2025-04-21,10.348040017255299
1068,2025-03-03,4.3206696186228735
1068,2025-03-10,4.474710997703089
1068,2025-03-17,4.829991706510074
1068,2025-03-24,5.163877746447612
1068,2025-03-31,5.558512629100923
1068,2025-04-07,6.335239697002514
1068,2025-04-14,7.23880936729107
1068,2025-04-21,7.745669348905823
1069,2025-03-03,3.741894376064846
1069,2025-03-10,4.501324400778632
1069,2025-03-17,4.883142674494629
1069,2025-03-24,4.549918325629334
1069,2025-03-31,4.888483412896133
1069,2025-04-07,5.085548836216916
1069,2025-04-14,5.085548836216916
1069,2025-04-21,5.352092599221218
1070,2025-03-03,0.48178384711669026
1070,2025-03-10,3.268670688605366
1070,2025-03-17,5.476204921746768
1070,2025-03-24,4.0742092710794156
1070,2025-03-31,4.4738651819137125
1070,2025-04-07,5.18284677697423
1070,2025-04-14,5.455965344010635
1070,2025-04-21,5.621935592122724
1071,2025-03-03,13.820430515309406
1071,2025-03-10,13.21897273328315
1071,2025-03-17,18.982711132364877
1071,2025-03-24,19.62845247572861
1071,2025-03-31,22.05527457169691
1071,2025-04-07,24.201884601187935
1071,2025-04-14,26.426417568216923
1071,2025-04-21,27.82894900063031
1072,2025-03-03,5.405882359300919
1072,2025-03-10,6.9245480489157405
1072,2025-03-17,9.180646708540777
1072,2025-03-24,10.858356515308124
1072,2025-03-31,13.420631888731954
1072,2025-04-07,14.984713662818598
1072,2025-04-14,18.538315764501377
1072,2025-04-21,16.119051846039223
1073,2025-03-03,0.48178384711669026
1073,2025-03-10,3.268670688605366
1073,2025-03-17,4.650216262669625
1073,2025-03-24,4.0742092710794156
1073,2025-03-31,4.4738651819137125
1073,2025-04-07,5.18284677697423
1073,2025-04-14,4.888483412896133
1073,2025-04-21,5.085548836216916
1074,2025-03-03,6.8458008937476285
1074,2025-03-10,7.358083920120114
1074,2025-03-17,8.007847857876905
1074,2025-03-24,8.00621940951406
1074,2025-03-31,8.638132554967259
1074,2025-04-07,9.187747466223671
1074,2025-04-14,9.187747466223671
1074,2025-04-21,9.187747466223671
1075,2025-03-03,13.856361281266286
1075,2025-03-10,11.986631112109386
1075,2025-03-17,12.814978475317558
1075,2025-03-24,13.680313457126175
1075,2025-03-31,15.948214236195499
1075,2025-04-07,15.664026338802103
1075,2025-04-14,15.93546554117778
1075,2025-04-21,16.09540327956349
1076,2025-03-03,8.077658617301568
1076,2025-03-10,9.86259687559247
1076,2025-03-17,11.806972672194355
1076,2025-03-24,11.699252238695763
1076,2025-03-31,13.626321108221003
1076,2025-04-07,15.044497276400422
1076,2025-04-14,17.4189615407939
1076,2025-04-21,15.81948734634237
1077,2025-03-03,4.880242225047409
1077,2025-03-10,5.851809074474173
1077,2025-03-17,7.449014952649685
1077,2025-03-24,8.055336367883744
1077,2025-03-31,10.255277302515182
1077,2025-04-07,10.998021050541931
1077,2025-04-14,11.802912633207676
1077,2025-04-21,12.73878768666621
1078,2025-03-03,7.357166789410588
1078,2025-03-10,8.976266062452884
1078,2025-03-17,9.876575203037158
1078,2025-03-24,9.627559874090847
1078,2025-03-31,11.233310590718652
1078,2025-04-07,11.926120308886528
1078,2025-04-14,12.436209503363212
1078,2025-04-21,12.791733738465176
